ticker,market_cap_usd,pe_forward,ev_ebitda,fcf_yield,dividend_yield,revenue_growth_yoy,gross_margin,return_on_equity,net_debt_to_ebitda,momentum_12m,volatility_90d,moat_strength,management_quality,ai_exposure,regulatory_risk,esg_controversy,demand_durability,sector,market_cap_tier,competitive_position
NVDA,3200000000000,32,45,0.018,0.000,0.62,0.75,0.55,0.10,0.35,0.45,5,5,5,3,1,4,information_technology,mega,leader
MSFT,3100000000000,30,22,0.030,0.007,0.15,0.69,0.40,0.20,0.18,0.22,5,5,5,3,1,5,information_technology,mega,leader
AAPL,3000000000000,28,22,0.038,0.005,0.05,0.46,0.60,0.30,0.10,0.24,4,4,3,2,1,4,information_technology,mega,leader
GOOGL,2100000000000,22,16,0.035,0.004,0.14,0.58,0.30,0.05,0.28,0.28,4,4,5,4,2,4,communication_services,mega,leader
AMZN,1900000000000,33,18,0.020,0.000,0.12,0.48,0.20,0.60,0.15,0.30,4,4,4,3,2,4,consumer_discretionary,mega,leader
LLY,780000000000,35,30,0.015,0.008,0.28,0.81,0.45,0.90,-0.10,0.32,4,4,2,2,1,5,health_care,mega,leader
JPM,650000000000,14,11,0.070,0.022,0.06,0.55,0.16,1.50,0.25,0.20,3,4,2,4,2,3,financials,mega,leader
V,560000000000,27,22,0.040,0.008,0.10,0.80,0.42,0.40,0.12,0.18,5,4,3,3,1,4,financials,mega,leader
AVGO,720000000000,35,28,0.028,0.011,0.30,0.66,0.25,2.10,0.60,0.42,4,4,4,2,1,4,information_technology,mega,challenger
COST,410000000000,48,30,0.025,0.005,0.08,0.13,0.28,0.30,0.12,0.18,3,5,1,1,1,5,consumer_staples,mega,leader
XOM,480000000000,13,6.5,0.055,0.035,-0.04,0.35,0.18,0.50,0.05,0.22,2,3,1,3,4,2,energy,mega,leader
PLTR,220000000000,150,200,0.010,0.000,0.40,0.80,0.10,-0.50,0.20,0.55,3,3,5,4,3,4,information_technology,mega,challenger
