,weight
LLY,0.09834646336086961
META,0.09563491139312572
MA,0.08860315611367343
V,0.08537183787696653
GOOGL,0.06777452417275104
JNJ,0.05211813022739539
ABBV,0.04680990720097422
MSFT,0.04373200808465324
NVDA,0.04373200808465324
AMZN,0.04369544948170001
LIN,0.04331215745689966
ADBE,0.03923809613254616
PG,0.039218676197888686
MRK,0.039114786511901097
AVGO,0.038693363389219686
AAPL,0.029685494098024193
AMD,0.027869727079832412
QCOM,0.026068404928723095
ORCL,0.02602242185022838
TXN,0.02495847635797437
