ticker,market_cap_usd,pe_forward,ev_ebitda,fcf_yield,dividend_yield,revenue_growth_yoy,gross_margin,return_on_equity,net_debt_to_ebitda,momentum_12m,volatility_90d,moat_strength,management_quality,ai_exposure,regulatory_risk,esg_controversy,demand_durability,sector,market_cap_tier,competitive_position
NVDA,3200000000000,32,45,0.018,0.000,0.62,0.75,0.55,0.10,0.35,0.45,5,5,5,3,1,4,information_technology,mega,leader
MSFT,3100000000000,30,22,0.030,0.007,0.15,0.69,0.40,0.20,0.18,0.22,5,5,5,3,1,5,information_technology,mega,leader
AAPL,3000000000000,28,22,0.038,0.005,0.05,0.46,0.60,0.30,0.10,0.24,4,4,3,2,1,4,information_technology,mega,leader
GOOGL,2100000000000,22,16,0.035,0.004,0.14,0.58,0.30,0.05,0.28,0.28,4,4,5,4,2,4,communication_services,mega,leader
AMZN,1900000000000,33,18,0.020,0.000,0.12,0.48,0.20,0.60,0.15,0.30,4,4,4,3,2,4,consumer_discretionary,mega,leader
LLY,780000000000,35,30,0.015,0.008,0.28,0.81,0.45,0.90,-0.10,0.32,4,4,2,2,1,5,health_care,mega,leader
JPM,650000000000,14,11,0.070,0.022,0.06,0.55,0.16,1.50,0.25,0.20,3,4,2,4,2,3,financials,mega,leader
V,560000000000,27,22,0.040,0.008,0.10,0.80,0.42,0.40,0.12,0.18,5,4,3,3,1,4,financials,mega,leader
AVGO,720000000000,35,28,0.028,0.011,0.30,0.66,0.25,2.10,0.60,0.42,4,4,4,2,1,4,information_technology,mega,challenger
COST,410000000000,48,30,0.025,0.005,0.08,0.13,0.28,0.30,0.12,0.18,3,5,1,1,1,5,consumer_staples,mega,leader
XOM,480000000000,13,6.5,0.055,0.035,-0.04,0.35,0.18,0.50,0.05,0.22,2,3,1,3,4,2,energy,mega,leader
PLTR,220000000000,150,200,0.010,0.000,0.40,0.80,0.10,-0.50,0.20,0.55,3,3,5,4,3,4,information_technology,mega,challenger
AAAPL,879000000000,36.6,26,0.037,0.005,0.37,0.83,0.34,0.43,0.13,0.58,3,2,4,2,3,3,information_technology,mega,challenger
AAMD,1882000000000,22.2,18.2,0.047,0.006,0.09,0.65,0.2,-0.05,0.29,0.46,3,2,3,2,1,3,information_technology,mega,leader
AAMZN,40000000000,24.8,12.6,0.037,0.007,0.2,0.25,0.13,2.29,-0.04,0.39,4,2,1,1,2,3,consumer_discretionary,large,leader
AAOI,43000000000,53.7,38.7,0.013,0.002,0.32,0.75,0.13,-0.31,0.19,0.42,5,3,5,1,2,5,information_technology,large,leader
AAOIB,134000000000,33.3,26.4,0.025,0.004,0.21,0.54,0.37,1.08,0.4,0.31,4,3,4,3,0,5,information_technology,large,leader
AAPLC,273000000000,52.5,38.3,0.029,0.006,0.26,0.66,0.12,0.43,0.46,0.43,2,4,5,1,0,5,information_technology,mega,leader
AASML,44000000000,39.9,28.7,0.034,0.003,0.09,0.48,0.3,0.43,0.22,0.37,4,2,4,2,0,4,information_technology,large,challenger
AAVGO,4000000000,41.7,31.6,0.041,0.005,0.23,0.77,0.2,-0.03,0.36,0.46,5,4,4,1,0,3,information_technology,mid,leader
ABNB,174000000000,37,17.7,0.069,0.019,0.06,0.42,0.29,0.4,0.22,0.41,4,2,3,3,0,4,consumer_discretionary,large,niche
ABOTZ,9000000000,31.1,23.6,0.041,0.006,0.42,0.7,0.38,0.87,0.45,0.32,2,3,4,2,1,5,information_technology,mid,follower
ACOIN,10000000000,16.8,11.9,0.081,0.029,0.08,0.5,0.23,1.54,0.41,0.44,3,5,2,5,1,4,financials,large,follower
ACRCL,8000000000,18.6,12.9,0.06,0.02,0.05,0.57,0.27,2.1,-0.08,0.36,4,3,2,5,2,4,financials,mid,follower
ADSK,141000000000,22.5,15.3,0.026,0.002,0.26,0.71,0.24,-0.15,-0.06,0.5,2,4,3,2,2,4,information_technology,large,leader
AEWY,61000000000,15,11.2,0.065,0.029,0.03,0.68,0.08,2.27,0.23,0.42,2,4,2,3,1,3,financials,large,leader
AGDX,6000000000,14.6,9.1,0.035,0.012,-0.05,0.45,0.17,0.89,-0.09,0.19,4,3,1,2,3,3,materials,mid,leader
AGLD,853000000000,19.7,10.5,0.044,0.02,0.12,0.39,0.16,1.18,0.19,0.32,3,5,2,2,4,3,materials,mega,leader
AGOOGL,1840000000000,22.7,12.4,0.027,0.013,0.2,0.68,0.18,1.51,-0.11,0.23,4,2,3,2,2,2,communication_services,mega,follower
AHOOD,8000000000,16.6,12.5,0.055,0.02,0.1,0.65,0.16,1.89,0.01,0.23,4,2,2,4,2,3,financials,mid,challenger
AMAT,1901000000000,49,32.2,0.042,0.006,0.11,0.56,0.2,1.08,0.39,0.48,5,3,5,2,0,3,information_technology,mega,challenger
AMD,158000000000,38.6,30.8,0.041,0.005,0.37,0.75,0.41,0.46,0.36,0.45,5,4,4,3,1,3,information_technology,large,follower
AMDB,1247000000000,32.3,26,0.014,0.007,0.22,0.56,0.17,-0.15,0.58,0.56,4,3,4,1,2,4,information_technology,mega,niche
AMETA,232000000000,31.2,16.9,0.034,0.009,0.22,0.52,0.12,1.68,0.07,0.31,4,2,4,1,2,4,communication_services,mega,leader
AMSFT,5000000000,22.1,16.6,0.019,0.002,0.45,0.64,0.21,-0.15,0.08,0.3,2,4,3,2,2,3,information_technology,mid,leader
AMSTR,468000000000,11.2,8.8,0.047,0.032,0.05,0.42,0.1,2.21,0.31,0.4,3,4,1,3,1,3,financials,mega,leader
ANVDA,353000000000,36.5,28.8,0.045,0.008,0.13,0.64,0.1,0.87,-0.07,0.47,4,3,4,3,2,3,information_technology,mega,leader
APLD,8000000000,48,35,0.029,0.005,0.3,0.7,0.32,-0.19,0.4,0.36,3,4,5,2,0,4,information_technology,mid,follower
APLTR,56000000000,31.6,23.7,0.033,0.004,0.32,0.71,0.33,-0.24,0.32,0.41,2,4,4,3,3,4,information_technology,large,follower
APP,553000000000,32,26,0.014,0.002,0.22,0.52,0.28,0.2,-0.04,0.34,2,4,4,2,2,5,information_technology,mega,follower
AQQQ,327000000000,12.7,10.4,0.062,0.02,0.06,0.67,0.29,2.35,0.01,0.25,4,3,1,5,2,2,financials,mega,follower
ARM,509000000000,48.1,38,0.048,0.006,0.21,0.58,0.12,0.82,0.48,0.51,3,4,5,1,1,3,information_technology,mega,niche
ARMB,49000000000,38,30.4,0.034,0.003,0.13,0.83,0.34,-0.38,0.23,0.4,4,3,4,2,0,5,information_technology,large,challenger
